,BestLevel,Benchmark,BenchmarkLevel,BestNDGroups,BestNWGroups,BenchmarkNDGroups,BenchmarkNWGroups,MIDModel,MIDRandom,MIWModel,MIWRandom,NormDModel,NormDRandom,NormWModel,NormWRandom,EDModel,EDRandom,EWModel,EWRandom
75,2,0,1,112,371,568,882,1.6632976242579425,0.7450120898974109,0.14414456529549705,0.0,10.106251565443998,10.185931355132595,4.3157988356994945,5.2537003175123465,0.6494877982186988,0.7441389311797637,0.6368535369199009,1.108872549380829
76,2,0,2,112,371,48,247,0.9859242036703808,0.0794813400839719,0.0978586058395291,5.439023810191717e-05,10.152831582814212,10.180221974603485,3.5419324557407146,4.6172983907867815,0.07660697177622931,0.0792703733035617,0.30334990431790426,0.6446172929249433
77,2,0,3,112,371,7,29,0.5115454065297043,0.011434579226066619,0.03844715030152328,0.0015011968258622106,10.107410659690904,10.141655600623679,2.781659744896068,3.546252376020525,0.010081519189631414,0.010130895556578784,0.07820863512548017,0.1531764375991816
78,2,0,4,112,371,3,7,0.02689156664822685,0.0027381741801684933,0.008198833616874629,0.00042953105419883783,8.907903669812805,10.048833665895309,2.4309721609925736,2.835559498196301,0.0033576239446180514,0.0033224703701225634,0.024070046519522725,0.036189447606022926
79,2,0,5,112,371,2,2,0.021827449082836098,0.001702380138076505,0.0029185123024153448,3.876420357588461e-05,8.927745877559182,9.937220217526903,1.918340564330699,2.2091801812895744,0.0017043233736654,0.0016540185261638086,0.005079126286634119,0.0057323368946964595
80,2,0,6,112,371,1,2,0.0,0.0,0.0029185123024153448,6.72973678327286e-05,,,1.918340564330699,2.2091798560203886,0.0,0.0,0.005079126286634119,0.005732337458775011
81,2,0,7,112,371,1,1,0.0,0.0,0.0,0.0,,,1.8626066180932157,1.8626066180932157,0.0,0.0,0.0,0.0
82,2,0,8,112,371,1,1,0.0,0.0,0.0,0.0,,,1.8626066180932157,1.8626066180932157,0.0,0.0,0.0,0.0
83,2,1,0,112,371,6258,2385,2.919066315730268,2.5427273075945536,0.2074864616603527,0.0,10.148650430453637,10.186009186425316,5.244918887601063,5.751081351697989,2.4673526038095295,2.541578402551698,1.2578749817051966,1.5862563781174908
84,2,1,1,112,371,862,982,1.7684174407272466,0.993761486165818,0.14777551804845707,0.0,10.095362441865884,10.186108620346758,4.434517743214398,5.307399842582675,0.8590089789572486,0.9914091323863959,0.7020630672744992,1.1517846981365956
85,2,1,2,112,371,82,250,1.0585049013654055,0.13348794294017693,0.09843684548695528,1.807440807570504e-05,10.16809667297711,10.183210078683699,3.5139731015599804,4.623334719129063,0.12570219996288745,0.1349793801565338,0.3109187435176853,0.6485105726584196
